SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
112.019997,112.589996,111,111.809998,54997000,83.042053
111.220001,112.230003,109.959999,109.959999,60950000,81.668007
109.440002,109.75,108.360001,108.830002,75279400,80.828743
109.459999,110.050003,109.330002,109.75,48300600,81.512032
109.57,110.540001,108.059998,110.449997,90830500,82.031937
109.760002,110.809998,109.629997,109.989998,57393700,81.690277
109.949997,110.739998,109.269997,110.040001,54123100,81.727448
108.889999,109.5,108.410004,109.099998,55020400,81.029274
109.489998,109.940002,109.330002,109.650002,30193100,81.437782
110.5,111.18,109.150002,109.269997,54804100,81.155548
109.449997,109.870003,109.040001,109.620003,38082900,81.415504
109.970001,110.550003,109.470001,109.809998,47480400,81.55658
110.529999,110.760002,109.68,110.269997,40961500,81.898247
109.900002,111.980003,109.599998,111.849998,48668000,83.071716
111.660004,112.290001,111.510002,112.239998,35977000,83.361389
112.540001,113.029999,112.059998,112.870003,45306900,83.8293
112.730003,112.879997,112.360001,112.860001,23367200,83.821877
112.459999,112.860001,111.870003,112.709999,41044700,83.710464
113.029999,113.480003,112.459999,113.129997,39774200,84.022392
112.809998,113.190002,112.07,112.089996,38688300,83.249947
112.980003,113.580002,112.709999,112.980003,32739500,83.910988
113.43,114.809998,113.419998,114.699997,31643800,85.188454
114.370003,114.919998,114.169998,114.860001,32846500,85.307289
114.510002,114.699997,113.720001,113.790001,36737600,84.512566
114.040001,114.349998,113.93,114.349998,21711000,84.928474
113.82,113.849998,112.870003,113.220001,34633000,84.089233
113.900002,114.449997,113.510002,114.019997,37445000,84.683411
114,114.199997,113.699997,114,26633400,84.668549
113.849998,114.07,113.330002,113.830002,28402400,84.542259
113.269997,114.220001,113.18,113.629997,31799800,84.701805
113.75,114.139999,113.129997,113.199997,25284000,84.381279
113.129997,113.879997,112.669998,113.769997,37334000,84.806175
113.610001,114.839996,113.419998,114.75,35580000,85.536667
114.559998,114.93,114.260002,114.389999,35272100,85.268341
114.410004,114.940002,113.68,113.839996,32837900,84.858315
114.519997,114.610001,113.410004,113.449997,40824500,84.567627
113.529999,114.169998,113.419998,113.919998,28418100,84.917999
114.07,114.790001,113.650002,114.529999,52230600,85.372696
114.25,114.400002,112.580002,112.940002,57734700,84.187447
113.160004,113.290001,112.599998,112.879997,34615100,84.142723
112.370003,112.449997,111.629997,111.889999,38698200,83.404808
111.809998,112.57,111.75,112.220001,29839800,83.650803
111.809998,112.32,111.199997,111.440002,45291100,83.069328
